No	Time	DC/AC	Value	Unit	AUTO
1	10:35:51	DC	000,0	uA	pass
2	10:35:51	DC	000,0	uA	pass
3	10:35:52	DC	000,0	uA	pass
4	10:35:53	DC	000,0	uA	pass
5	10:35:53	DC	000,0	uA	pass
6	10:35:54	DC	000,0	uA	pass
7	10:35:54	DC	000,0	uA	pass
8	10:35:55	DC	000,0	uA	pass
9	10:35:56	DC	000,0	uA	pass
10	10:35:56	DC	000,0	uA	pass
11	10:35:57	DC	000,0	uA	pass
12	10:35:57	DC	000,0	uA	pass
13	10:35:58	DC	000,0	uA	pass
14	10:35:58	DC	000,0	uA	pass
15	10:35:59	DC	000,0	uA	pass
16	10:36:00	DC	000,0	uA	pass
17	10:36:00	DC	000,0	uA	pass
18	10:36:01	DC	000,0	uA	pass
19	10:36:01	DC	000,0	uA	pass
20	10:36:02	DC	000,0	uA	pass
21	10:36:03	DC	000,0	uA	pass
22	10:36:03	DC	000,0	uA	pass
23	10:36:04	DC	000,0	uA	pass
24	10:36:04	DC	000,0	uA	pass
25	10:36:05	DC	000,0	uA	pass
26	10:36:06	DC	000,0	uA	pass
27	10:36:06	DC	000,0	uA	pass
28	10:36:07	DC	000,0	uA	pass
29	10:36:07	DC	000,0	uA	pass
30	10:36:08	DC	000,1	uA	pass
31	10:36:08	DC	000,1	uA	pass
32	10:36:09	DC	000,0	uA	pass
33	10:36:10	DC	000,0	uA	pass
34	10:36:10	DC	0L	uA	Fail
35	10:36:11	DC	0L	uA	Fail
36	10:36:11	DC	0L	uA	Fail
37	10:36:12	DC	0L	uA	Fail
38	10:36:13	DC	0L	uA	Fail
39	10:36:13	DC	0L	uA	Fail
40	10:36:14	DC	0L	uA	Fail
41	10:36:14	DC	0L	uA	Fail
42	10:36:15	DC	0L	uA	Fail
43	10:36:15	DC	0L	uA	Fail
44	10:36:16	DC	0L	uA	Fail
45	10:36:17	DC	0L	uA	Fail
46	10:36:17	DC	0L	uA	Fail
47	10:36:18	DC	0L	uA	Fail
48	10:36:18	DC	0L	uA	Fail
49	10:36:19	DC	0L	uA	Fail
50	10:36:19	DC	0L	uA	Fail
51	10:36:20	DC	0L	uA	Fail
52	10:36:21	DC	0L	uA	Fail
53	10:36:21	DC	0L	uA	Fail
54	10:36:22	DC	-000,9	uA	pass
55	10:36:22	DC	-000,7	uA	pass
56	10:36:23	DC	-000,4	uA	pass
57	10:36:24	DC	00,00	mA	pass
58	10:36:24	DC	00,00	mA	pass
59	10:36:25	DC	00,00	mA	pass
60	10:36:25	DC	00,00	mA	pass
61	10:36:26	DC	00,00	mA	pass
62	10:36:27	DC	00,00	mA	pass
63	10:36:27	DC	00,00	mA	pass
64	10:36:28	DC	00,00	mA	pass
65	10:36:28	DC	00,00	mA	pass
66	10:36:29	DC	15,59	mA	pass
67	10:36:29	DC	39,95	mA	pass
68	10:36:30	DC	14,60	mA	pass
69	10:36:31	DC	42,61	mA	pass
70	10:36:31	DC	41,17	mA	pass
71	10:36:32	DC	44,81	mA	pass
72	10:36:32	DC	20,63	mA	pass
73	10:36:33	DC	05,42	mA	pass
74	10:36:33	DC	09,84	mA	pass
75	10:36:34	DC	00,20	mA	pass
76	10:36:35	DC	01,36	mA	pass
77	10:36:35	DC	14,25	mA	pass
78	10:36:36	DC	20,09	mA	pass
79	10:36:36	DC	16,99	mA	pass
80	10:36:37	DC	18,67	mA	pass
81	10:36:38	DC	00,19	mA	pass
82	10:36:38	DC	00,37	mA	pass
83	10:36:39	DC	02,16	mA	pass
84	10:36:39	DC	20,46	mA	pass
85	10:36:40	DC	21,18	mA	pass
86	10:36:40	DC	17,06	mA	pass
87	10:36:41	DC	03,12	mA	pass
88	10:36:42	DC	00,19	mA	pass
89	10:36:42	DC	00,18	mA	pass
90	10:36:43	DC	00,19	mA	pass
91	10:36:43	DC	02,01	mA	pass
92	10:36:44	DC	06,90	mA	pass
93	10:36:44	DC	21,66	mA	pass
94	10:36:45	DC	17,42	mA	pass
95	10:36:46	DC	00,23	mA	pass
96	10:36:46	DC	00,21	mA	pass
97	10:36:47	DC	00,19	mA	pass
98	10:36:47	DC	00,19	mA	pass
99	10:36:48	DC	00,53	mA	pass
100	10:36:49	DC	00,19	mA	pass
101	10:36:49	DC	00,19	mA	pass
102	10:36:50	DC	00,20	mA	pass
103	10:36:50	DC	00,20	mA	pass
104	10:36:51	DC	00,19	mA	pass
