No	Time	DC/AC	Value	Unit	AUTO
1	10:53:54	DC	132,5	uA	pass
2	10:53:54	DC	132,5	uA	pass
3	10:53:55	DC	132,5	uA	pass
4	10:53:55	DC	132,6	uA	pass
5	10:53:56	DC	132,6	uA	pass
6	10:53:56	DC	140,6	uA	pass
7	10:53:57	DC	132,9	uA	pass
8	10:53:58	DC	140,2	uA	pass
9	10:53:58	DC	132,5	uA	pass
10	10:53:59	DC	132,5	uA	pass
11	10:53:59	DC	132,5	uA	pass
12	10:54:00	DC	132,5	uA	pass
13	10:54:01	DC	132,5	uA	pass
14	10:54:01	DC	132,5	uA	pass
15	10:54:02	DC	132,4	uA	pass
16	10:54:02	DC	132,5	uA	pass
17	10:54:03	DC	132,6	uA	pass
18	10:54:04	DC	144,4	uA	pass
19	10:54:04	DC	132,5	uA	pass
20	10:54:05	DC	135,4	uA	pass
21	10:54:05	DC	132,6	uA	pass
22	10:54:06	DC	132,5	uA	pass
23	10:54:06	DC	132,6	uA	pass
24	10:54:07	DC	132,5	uA	pass
25	10:54:08	DC	132,5	uA	pass
26	10:54:08	DC	132,5	uA	pass
27	10:54:09	DC	132,5	uA	pass
28	10:54:09	DC	132,5	uA	pass
29	10:54:10	DC	132,9	uA	pass
30	10:54:10	DC	132,8	uA	pass
31	10:54:11	DC	132,8	uA	pass
32	10:54:12	DC	132,8	uA	pass
33	10:54:12	DC	132,7	uA	pass
34	10:54:13	DC	132,6	uA	pass
35	10:54:13	DC	137,3	uA	pass
36	10:54:14	DC	132,5	uA	pass
37	10:54:15	DC	132,4	uA	pass
38	10:54:15	DC	132,4	uA	pass
39	10:54:16	DC	132,3	uA	pass
40	10:54:16	DC	132,3	uA	pass
41	10:54:17	DC	132,3	uA	pass
42	10:54:18	DC	132,5	uA	pass
43	10:54:18	DC	132,6	uA	pass
44	10:54:19	DC	132,5	uA	pass
45	10:54:19	DC	132,6	uA	pass
46	10:54:20	DC	132,7	uA	pass
47	10:54:20	DC	139,7	uA	pass
48	10:54:21	DC	132,6	uA	pass
49	10:54:22	DC	132,6	uA	pass
50	10:54:22	DC	132,5	uA	pass
51	10:54:23	DC	132,5	uA	pass
52	10:54:23	DC	132,6	uA	pass
53	10:54:24	DC	132,5	uA	pass
54	10:54:24	DC	132,5	uA	pass
55	10:54:25	DC	132,5	uA	pass
56	10:54:26	DC	132,6	uA	pass
57	10:54:26	DC	132,5	uA	pass
58	10:54:27	DC	132,5	uA	pass
59	10:54:27	DC	132,5	uA	pass
60	10:54:28	DC	132,5	uA	pass
61	10:54:29	DC	139,9	uA	pass
62	10:54:29	DC	132,4	uA	pass
63	10:54:30	DC	132,3	uA	pass
64	10:54:30	DC	132,3	uA	pass
65	10:54:31	DC	132,5	uA	pass
66	10:54:31	DC	132,5	uA	pass
67	10:54:32	DC	132,4	uA	pass
68	10:54:33	DC	132,4	uA	pass
69	10:54:33	DC	132,3	uA	pass
70	10:54:34	DC	132,4	uA	pass
71	10:54:34	DC	132,5	uA	pass
72	10:54:35	DC	132,5	uA	pass
73	10:54:36	DC	140,4	uA	pass
74	10:54:36	DC	132,5	uA	pass
75	10:54:37	DC	132,6	uA	pass
76	10:54:37	DC	132,6	uA	pass
77	10:54:38	DC	132,6	uA	pass
78	10:54:39	DC	132,6	uA	pass
79	10:54:39	DC	132,5	uA	pass
80	10:54:40	DC	132,5	uA	pass
81	10:54:40	DC	132,6	uA	pass
82	10:54:41	DC	132,6	uA	pass
83	10:54:41	DC	138,6	uA	pass
84	10:54:42	DC	132,5	uA	pass
85	10:54:43	DC	132,2	uA	pass
86	10:54:43	DC	132,3	uA	pass
87	10:54:44	DC	132,6	uA	pass
88	10:54:44	DC	140,7	uA	pass
89	10:54:45	DC	132,7	uA	pass
90	10:54:45	DC	134,7	uA	pass
91	10:54:46	DC	131,8	uA	pass
92	10:54:47	DC	132,1	uA	pass
93	10:54:47	DC	132,6	uA	pass
94	10:54:48	DC	132,5	uA	pass
95	10:54:48	DC	132,5	uA	pass
96	10:54:49	DC	132,5	uA	pass
97	10:54:50	DC	132,5	uA	pass
98	10:54:50	DC	132,6	uA	pass
99	10:54:51	DC	132,6	uA	pass
100	10:54:51	DC	136,3	uA	pass
101	10:54:52	DC	132,3	uA	pass
102	10:54:52	DC	140,2	uA	pass
103	10:54:53	DC	132,4	uA	pass
104	10:54:54	DC	132,4	uA	pass
105	10:54:54	DC	132,4	uA	pass
106	10:54:55	DC	132,5	uA	pass
107	10:54:55	DC	132,5	uA	pass
108	10:54:56	DC	132,6	uA	pass
109	10:54:57	DC	132,8	uA	pass
110	10:54:57	DC	132,9	uA	pass
111	10:54:58	DC	132,8	uA	pass
112	10:54:58	DC	139,7	uA	pass
113	10:54:59	DC	132,7	uA	pass
114	10:55:00	DC	136,6	uA	pass
115	10:55:00	DC	132,5	uA	pass
116	10:55:01	DC	132,6	uA	pass
117	10:55:01	DC	132,5	uA	pass
118	10:55:02	DC	132,4	uA	pass
119	10:55:02	DC	132,4	uA	pass
120	10:55:03	DC	132,4	uA	pass
121	10:55:04	DC	132,5	uA	pass
122	10:55:04	DC	132,5	uA	pass
123	10:55:05	DC	132,5	uA	pass
124	10:55:05	DC	135,7	uA	pass
125	10:55:06	DC	132,5	uA	pass
126	10:55:07	DC	140,2	uA	pass
127	10:55:07	DC	132,5	uA	pass
128	10:55:08	DC	132,6	uA	pass
129	10:55:08	DC	132,6	uA	pass
130	10:55:09	DC	132,5	uA	pass
131	10:55:09	DC	138,0	uA	pass
132	10:55:10	DC	132,3	uA	pass
133	10:55:11	DC	132,2	uA	pass
134	10:55:11	DC	132,4	uA	pass
135	10:55:12	DC	132,5	uA	pass
136	10:55:12	DC	132,6	uA	pass
137	10:55:13	DC	132,5	uA	pass
138	10:55:13	DC	132,6	uA	pass
