No	Time	DC/AC	Value	Unit	AUTO
1	16:27:57	DC	00,00	mA	pass
2	16:27:57	DC	00,00	mA	pass
3	16:27:58	DC	00,00	mA	pass
4	16:27:59	DC	-00,00	mA	pass
5	16:27:59	DC	00,00	mA	pass
6	16:28:00	DC	00,00	mA	pass
7	16:28:00	DC	00,00	mA	pass
8	16:28:01	DC	00,00	mA	pass
9	16:28:01	DC	00,00	mA	pass
10	16:28:02	DC	03,61	mA	pass
11	16:28:03	DC	38,78	mA	pass
12	16:28:03	DC	40,06	mA	pass
13	16:28:04	DC	43,09	mA	pass
14	16:28:04	DC	42,42	mA	pass
15	16:28:05	DC	39,53	mA	pass
16	16:28:06	DC	00,28	mA	pass
17	16:28:06	DC	02,69	mA	pass
18	16:28:07	DC	09,20	mA	pass
19	16:28:07	DC	20,58	mA	pass
20	16:28:08	DC	15,02	mA	pass
21	16:28:08	DC	02,86	mA	pass
22	16:28:09	DC	39,57	mA	pass
23	16:28:10	DC	00,15	mA	pass
24	16:28:10	DC	01,20	mA	pass
25	16:28:11	DC	15,31	mA	pass
26	16:28:11	DC	29,17	mA	pass
27	16:28:12	DC	17,92	mA	pass
28	16:28:13	DC	07,22	mA	pass
29	16:28:13	DC	00,16	mA	pass
30	16:28:14	DC	00,15	mA	pass
31	16:28:14	DC	10,23	mA	pass
32	16:28:15	DC	10,41	mA	pass
33	16:28:16	DC	20,34	mA	pass
34	16:28:16	DC	05,44	mA	pass
35	16:28:17	DC	00,15	mA	pass
36	16:28:17	DC	00,15	mA	pass
37	16:28:18	DC	00,74	mA	pass
38	16:28:19	DC	04,05	mA	pass
39	16:28:19	DC	21,63	mA	pass
40	16:28:20	DC	07,24	mA	pass
41	16:28:20	DC	05,11	mA	pass
42	16:28:21	DC	00,15	mA	pass
43	16:28:21	DC	00,15	mA	pass
44	16:28:22	DC	00,15	mA	pass
45	16:28:23	DC	01,30	mA	pass
46	16:28:23	DC	00,15	mA	pass
47	16:28:24	DC	00,15	mA	pass
48	16:28:24	DC	00,15	mA	pass
49	16:28:25	DC	00,15	mA	pass
50	16:28:26	DC	00,15	mA	pass
51	16:28:26	DC	00,15	mA	pass
52	16:28:27	DC	00,15	mA	pass
53	16:28:27	DC	00,15	mA	pass
54	16:28:28	DC	03,19	mA	pass
55	16:28:29	DC	00,16	mA	pass
56	16:28:29	DC	00,15	mA	pass
57	16:28:30	DC	17,14	mA	pass
58	16:28:30	DC	45,68	mA	pass
59	16:28:31	DC	45,68	mA	pass
60	16:28:31	DC	05,20	mA	pass
61	16:28:32	DC	00,15	mA	pass
62	16:28:33	DC	00,15	mA	pass
63	16:28:33	DC	00,15	mA	pass
64	16:28:34	DC	00,15	mA	pass
65	16:28:34	DC	00,76	mA	pass
66	16:28:35	DC	40,19	mA	pass
67	16:28:36	DC	35,65	mA	pass
68	16:28:36	DC	30,28	mA	pass
69	16:28:37	DC	41,52	mA	pass
70	16:28:37	DC	00,15	mA	pass
71	16:28:38	DC	17,31	mA	pass
72	16:28:38	DC	00,15	mA	pass
73	16:28:39	DC	04,70	mA	pass
74	16:28:40	DC	24,98	mA	pass
75	16:28:40	DC	22,69	mA	pass
76	16:28:41	DC	12,75	mA	pass
77	16:28:42	DC	00,17	mA	pass
78	16:28:42	DC	12,33	mA	pass
79	16:28:43	DC	02,06	mA	pass
80	16:28:43	DC	20,07	mA	pass
81	16:28:44	DC	22,20	mA	pass
82	16:28:44	DC	39,21	mA	pass
83	16:28:45	DC	00,15	mA	pass
84	16:28:46	DC	14,59	mA	pass
85	16:28:46	DC	00,56	mA	pass
86	16:28:47	DC	10,29	mA	pass
87	16:28:47	DC	24,67	mA	pass
88	16:28:48	DC	23,51	mA	pass
89	16:28:49	DC	00,16	mA	pass
90	16:28:49	DC	00,15	mA	pass
91	16:28:50	DC	02,37	mA	pass
92	16:28:50	DC	00,15	mA	pass
93	16:28:51	DC	07,47	mA	pass
94	16:28:51	DC	00,15	mA	pass
95	16:28:52	DC	00,15	mA	pass
96	16:28:53	DC	00,15	mA	pass
97	16:28:53	DC	00,15	mA	pass
98	16:28:54	DC	00,15	mA	pass
99	16:28:54	DC	00,15	mA	pass
100	16:28:55	DC	05,05	mA	pass
101	16:28:56	DC	00,15	mA	pass
102	16:28:56	DC	00,15	mA	pass
103	16:28:57	DC	00,15	mA	pass
104	16:28:57	DC	01,62	mA	pass
105	16:28:58	DC	00,16	mA	pass
106	16:28:58	DC	00,15	mA	pass
107	16:28:59	DC	00,15	mA	pass
108	16:29:00	DC	00,15	mA	pass
109	16:29:00	DC	00,15	mA	pass
110	16:29:01	DC	00,26	mA	pass
111	16:29:01	DC	00,15	mA	pass
112	16:29:02	DC	00,15	mA	pass
113	16:29:03	DC	00,15	mA	pass
114	16:29:03	DC	00,65	mA	pass
115	16:29:04	DC	00,15	mA	pass
116	16:29:04	DC	00,15	mA	pass
117	16:29:05	DC	01,11	mA	pass
