No	Time	DC/AC	Value	Unit	AUTO
1	18:00:08	DC	00,00	mA	pass
2	18:00:09	DC	00,00	mA	pass
3	18:00:09	DC	00,00	mA	pass
4	18:00:10	DC	00,00	mA	pass
5	18:00:10	DC	00,00	mA	pass
6	18:00:11	DC	00,00	mA	pass
7	18:00:11	DC	00,00	mA	pass
8	18:00:12	DC	00,00	mA	pass
9	18:00:13	DC	00,00	mA	pass
10	18:00:13	DC	00,00	mA	pass
11	18:00:14	DC	00,00	mA	pass
12	18:00:14	DC	00,00	mA	pass
13	18:00:15	DC	00,00	mA	pass
14	18:00:16	DC	00,00	mA	pass
15	18:00:16	DC	00,00	mA	pass
16	18:00:17	DC	00,00	mA	pass
17	18:00:17	DC	00,00	mA	pass
18	18:00:18	DC	16,04	mA	pass
19	18:00:19	DC	12,93	mA	pass
20	18:00:19	DC	12,94	mA	pass
21	18:00:20	DC	00,88	mA	pass
22	18:00:20	DC	00,87	mA	pass
23	18:00:21	DC	01,62	mA	pass
24	18:00:21	DC	05,52	mA	pass
25	18:00:22	DC	26,50	mA	pass
26	18:00:23	DC	00,88	mA	pass
27	18:00:23	DC	00,88	mA	pass
28	18:00:24	DC	00,88	mA	pass
29	18:00:24	DC	30,33	mA	pass
30	18:00:25	DC	23,86	mA	pass
31	18:00:26	DC	00,87	mA	pass
32	18:00:26	DC	00,89	mA	pass
33	18:00:27	DC	00,88	mA	pass
34	18:00:27	DC	00,87	mA	pass
35	18:00:28	DC	00,87	mA	pass
36	18:00:28	DC	25,98	mA	pass
37	18:00:29	DC	00,89	mA	pass
38	18:00:29	DC	00,89	mA	pass
39	18:00:30	DC	02,25	mA	pass
40	18:00:31	DC	00,89	mA	pass
41	18:00:31	DC	00,89	mA	pass
42	18:00:32	DC	00,88	mA	pass
43	18:00:32	DC	05,46	mA	pass
44	18:00:33	DC	00,88	mA	pass
45	18:00:34	DC	00,88	mA	pass
46	18:00:34	DC	00,88	mA	pass
47	18:00:35	DC	00,89	mA	pass
48	18:00:35	DC	00,89	mA	pass
49	18:00:36	DC	00,89	mA	pass
50	18:00:37	DC	18,72	mA	pass
51	18:00:37	DC	00,88	mA	pass
52	18:00:38	DC	00,88	mA	pass
53	18:00:38	DC	00,89	mA	pass
54	18:00:39	DC	00,89	mA	pass
55	18:00:39	DC	00,88	mA	pass
56	18:00:40	DC	00,88	mA	pass
57	18:00:41	DC	00,90	mA	pass
58	18:00:41	DC	00,95	mA	pass
59	18:00:42	DC	00,93	mA	pass
60	18:00:42	DC	03,83	mA	pass
61	18:00:43	DC	01,93	mA	pass
62	18:00:44	DC	00,89	mA	pass
63	18:00:44	DC	00,88	mA	pass
64	18:00:45	DC	00,89	mA	pass
65	18:00:45	DC	00,89	mA	pass
66	18:00:46	DC	00,88	mA	pass
67	18:00:46	DC	05,52	mA	pass
68	18:00:47	DC	00,88	mA	pass
69	18:00:48	DC	00,88	mA	pass
70	18:00:48	DC	00,88	mA	pass
71	18:00:49	DC	07,66	mA	pass
72	18:00:49	DC	00,88	mA	pass
73	18:00:50	DC	00,88	mA	pass
74	18:00:51	DC	00,88	mA	pass
75	18:00:51	DC	00,88	mA	pass
76	18:00:52	DC	00,88	mA	pass
77	18:00:52	DC	00,88	mA	pass
78	18:00:53	DC	13,53	mA	pass
79	18:00:53	DC	00,89	mA	pass
80	18:00:54	DC	00,89	mA	pass
81	18:00:55	DC	00,88	mA	pass
82	18:00:55	DC	00,89	mA	pass
83	18:00:56	DC	00,89	mA	pass
84	18:00:56	DC	00,88	mA	pass
85	18:00:57	DC	00,89	mA	pass
86	18:00:58	DC	00,89	mA	pass
87	18:00:58	DC	00,89	mA	pass
88	18:00:59	DC	05,52	mA	pass
89	18:00:59	DC	00,88	mA	pass
90	18:01:00	DC	00,88	mA	pass
91	18:01:01	DC	00,88	mA	pass
92	18:01:01	DC	10,63	mA	pass
93	18:01:02	DC	00,89	mA	pass
94	18:01:02	DC	00,89	mA	pass
95	18:01:03	DC	17,74	mA	pass
96	18:01:03	DC	00,89	mA	pass
97	18:01:04	DC	00,89	mA	pass
98	18:01:05	DC	00,89	mA	pass
99	18:01:05	DC	37,22	mA	pass
100	18:01:06	DC	00,89	mA	pass
101	18:01:06	DC	00,89	mA	pass
102	18:01:07	DC	00,88	mA	pass
103	18:01:08	DC	00,89	mA	pass
104	18:01:08	DC	00,88	mA	pass
105	18:01:09	DC	00,88	mA	pass
106	18:01:09	DC	02,23	mA	pass
107	18:01:10	DC	00,89	mA	pass
108	18:01:10	DC	00,89	mA	pass
109	18:01:11	DC	00,99	mA	pass
110	18:01:12	DC	00,88	mA	pass
111	18:01:12	DC	00,88	mA	pass
112	18:01:13	DC	00,88	mA	pass
113	18:01:13	DC	00,89	mA	pass
114	18:01:14	DC	00,88	mA	pass
115	18:01:14	DC	00,88	mA	pass
116	18:01:15	DC	04,30	mA	pass
117	18:01:16	DC	00,90	mA	pass
118	18:01:16	DC	00,89	mA	pass
119	18:01:17	DC	00,89	mA	pass
120	18:01:17	DC	10,30	mA	pass
121	18:01:18	DC	37,54	mA	pass
122	18:01:19	DC	00,89	mA	pass
123	18:01:19	DC	00,89	mA	pass
124	18:01:20	DC	00,88	mA	pass
125	18:01:20	DC	00,88	mA	pass
126	18:01:21	DC	00,88	mA	pass
127	18:01:22	DC	14,58	mA	pass
128	18:01:22	DC	00,88	mA	pass
129	18:01:23	DC	00,88	mA	pass
130	18:01:23	DC	00,88	mA	pass
131	18:01:24	DC	00,89	mA	pass
132	18:01:24	DC	00,89	mA	pass
