No	Time	DC/AC	Value	Unit	AUTO
1	20:31:29	DC	00,00	mA	pass
2	20:31:29	DC	00,00	mA	pass
3	20:31:30	DC	00,00	mA	pass
4	20:31:30	DC	00,00	mA	pass
5	20:31:31	DC	00,00	mA	pass
6	20:31:32	DC	00,00	mA	pass
7	20:31:32	DC	00,00	mA	pass
8	20:31:33	DC	00,00	mA	pass
9	20:31:33	DC	00,00	mA	pass
10	20:31:34	DC	00,00	mA	pass
11	20:31:35	DC	-00,00	mA	pass
12	20:31:35	DC	00,00	mA	pass
13	20:31:36	DC	00,00	mA	pass
14	20:31:36	DC	00,00	mA	pass
15	20:31:37	DC	00,00	mA	pass
16	20:31:37	DC	00,00	mA	pass
17	20:31:38	DC	00,00	mA	pass
18	20:31:38	DC	07,58	mA	pass
19	20:31:39	DC	19,17	mA	pass
20	20:31:40	DC	17,55	mA	pass
21	20:31:40	DC	00,20	mA	pass
22	20:31:41	DC	00,20	mA	pass
23	20:31:41	DC	00,20	mA	pass
24	20:31:42	DC	00,19	mA	pass
25	20:31:43	DC	00,19	mA	pass
26	20:31:43	DC	00,19	mA	pass
27	20:31:44	DC	21,72	mA	pass
28	20:31:44	DC	00,19	mA	pass
29	20:31:45	DC	00,19	mA	pass
30	20:31:46	DC	00,19	mA	pass
31	20:31:46	DC	31,43	mA	pass
32	20:31:47	DC	20,47	mA	pass
33	20:31:47	DC	04,98	mA	pass
34	20:31:48	DC	00,19	mA	pass
35	20:31:49	DC	00,19	mA	pass
36	20:31:49	DC	00,19	mA	pass
37	20:31:50	DC	00,19	mA	pass
38	20:31:50	DC	27,56	mA	pass
39	20:31:51	DC	00,19	mA	pass
40	20:31:51	DC	00,19	mA	pass
41	20:31:52	DC	01,58	mA	pass
42	20:31:53	DC	00,19	mA	pass
43	20:31:53	DC	00,19	mA	pass
44	20:31:54	DC	00,19	mA	pass
45	20:31:54	DC	02,76	mA	pass
46	20:31:55	DC	00,20	mA	pass
47	20:31:56	DC	00,19	mA	pass
48	20:31:56	DC	05,56	mA	pass
49	20:31:57	DC	00,19	mA	pass
50	20:31:57	DC	00,19	mA	pass
51	20:31:58	DC	00,19	mA	pass
52	20:31:59	DC	15,86	mA	pass
53	20:31:59	DC	00,20	mA	pass
54	20:32:00	DC	00,19	mA	pass
55	20:32:00	DC	00,19	mA	pass
56	20:32:01	DC	00,19	mA	pass
57	20:32:01	DC	00,19	mA	pass
58	20:32:02	DC	00,19	mA	pass
59	20:32:02	DC	19,68	mA	pass
60	20:32:03	DC	00,20	mA	pass
61	20:32:04	DC	00,19	mA	pass
62	20:32:04	DC	00,19	mA	pass
63	20:32:05	DC	00,19	mA	pass
64	20:32:05	DC	00,19	mA	pass
65	20:32:06	DC	00,19	mA	pass
66	20:32:07	DC	00,20	mA	pass
67	20:32:07	DC	00,19	mA	pass
68	20:32:08	DC	00,19	mA	pass
69	20:32:08	DC	00,19	mA	pass
70	20:32:09	DC	00,19	mA	pass
71	20:32:09	DC	00,19	mA	pass
72	20:32:10	DC	00,19	mA	pass
73	20:32:11	DC	01,54	mA	pass
74	20:32:11	DC	00,20	mA	pass
75	20:32:12	DC	00,19	mA	pass
76	20:32:12	DC	00,19	mA	pass
77	20:32:13	DC	00,19	mA	pass
78	20:32:13	DC	00,19	mA	pass
79	20:32:14	DC	00,19	mA	pass
80	20:32:15	DC	00,19	mA	pass
81	20:32:15	DC	05,21	mA	pass
82	20:32:16	DC	00,19	mA	pass
83	20:32:16	DC	00,19	mA	pass
84	20:32:17	DC	00,19	mA	pass
85	20:32:18	DC	00,19	mA	pass
86	20:32:18	DC	00,19	mA	pass
87	20:32:19	DC	00,19	mA	pass
88	20:32:19	DC	00,19	mA	pass
89	20:32:20	DC	00,19	mA	pass
90	20:32:20	DC	20,01	mA	pass
91	20:32:21	DC	00,19	mA	pass
92	20:32:22	DC	00,19	mA	pass
93	20:32:22	DC	00,19	mA	pass
94	20:32:23	DC	00,19	mA	pass
95	20:32:23	DC	00,19	mA	pass
96	20:32:24	DC	00,19	mA	pass
97	20:32:25	DC	00,19	mA	pass
98	20:32:25	DC	00,19	mA	pass
99	20:32:26	DC	02,29	mA	pass
100	20:32:26	DC	00,19	mA	pass
101	20:32:27	DC	00,19	mA	pass
102	20:32:27	DC	00,19	mA	pass
103	20:32:28	DC	00,19	mA	pass
104	20:32:29	DC	00,19	mA	pass
105	20:32:29	DC	00,19	mA	pass
106	20:32:30	DC	00,19	mA	pass
107	20:32:30	DC	00,19	mA	pass
108	20:32:31	DC	00,19	mA	pass
109	20:32:32	DC	00,19	mA	pass
110	20:32:32	DC	00,19	mA	pass
111	20:32:33	DC	00,19	mA	pass
112	20:32:33	DC	00,33	mA	pass
113	20:32:34	DC	00,19	mA	pass
114	20:32:34	DC	00,19	mA	pass
115	20:32:35	DC	00,19	mA	pass
116	20:32:36	DC	00,19	mA	pass
117	20:32:36	DC	00,19	mA	pass
118	20:32:37	DC	00,19	mA	pass
119	20:32:37	DC	00,19	mA	pass
120	20:32:38	DC	00,19	mA	pass
121	20:32:39	DC	00,20	mA	pass
122	20:32:39	DC	00,20	mA	pass
123	20:32:40	DC	00,19	mA	pass
124	20:32:40	DC	00,19	mA	pass
125	20:32:41	DC	00,19	mA	pass
126	20:32:41	DC	00,19	mA	pass
127	20:32:42	DC	00,19	mA	pass
128	20:32:43	DC	00,19	mA	pass
129	20:32:43	DC	00,19	mA	pass
130	20:32:44	DC	00,20	mA	pass
131	20:32:44	DC	00,20	mA	pass
132	20:32:45	DC	00,19	mA	pass
133	20:32:45	DC	01,23	mA	pass
134	20:32:46	DC	00,19	mA	pass
135	20:32:47	DC	00,19	mA	pass
136	20:32:47	DC	00,19	mA	pass
137	20:32:48	DC	00,19	mA	pass
138	20:32:48	DC	00,19	mA	pass
139	20:32:49	DC	11,21	mA	pass
140	20:32:50	DC	00,19	mA	pass
141	20:32:50	DC	00,19	mA	pass
142	20:32:51	DC	00,19	mA	pass
143	20:32:51	DC	05,04	mA	pass
144	20:32:52	DC	00,19	mA	pass
145	20:32:52	DC	00,19	mA	pass
146	20:32:53	DC	00,19	mA	pass
147	20:32:54	DC	00,19	mA	pass
148	20:32:54	DC	00,20	mA	pass
149	20:32:55	DC	00,20	mA	pass
150	20:32:55	DC	00,19	mA	pass
151	20:32:56	DC	00,19	mA	pass
152	20:32:57	DC	19,31	mA	pass
153	20:32:57	DC	00,19	mA	pass
154	20:32:58	DC	00,19	mA	pass
155	20:32:58	DC	00,20	mA	pass
156	20:32:59	DC	04,94	mA	pass
157	20:33:00	DC	00,19	mA	pass
158	20:33:00	DC	00,19	mA	pass
159	20:33:01	DC	00,19	mA	pass
160	20:33:01	DC	00,19	mA	pass
161	20:33:02	DC	00,19	mA	pass
162	20:33:02	DC	00,19	mA	pass
163	20:33:03	DC	00,19	mA	pass
164	20:33:03	DC	00,19	mA	pass
165	20:33:04	DC	19,82	mA	pass
166	20:33:05	DC	00,19	mA	pass
167	20:33:05	DC	00,19	mA	pass
168	20:33:06	DC	00,19	mA	pass
169	20:33:06	DC	05,02	mA	pass
170	20:33:07	DC	00,19	mA	pass
171	20:33:08	DC	00,19	mA	pass
172	20:33:08	DC	00,19	mA	pass
173	20:33:09	DC	00,19	mA	pass
174	20:33:09	DC	00,36	mA	pass
175	20:33:10	DC	00,19	mA	pass
176	20:33:10	DC	00,19	mA	pass
177	20:33:11	DC	00,13	mA	pass
178	20:33:12	DC	00,13	mA	pass
179	20:33:12	DC	00,13	mA	pass
180	20:33:13	DC	00,14	mA	pass
181	20:33:13	DC	00,13	mA	pass
182	20:33:14	DC	00,13	mA	pass
183	20:33:14	DC	00,13	mA	pass
184	20:33:15	DC	00,13	mA	pass
