No	Time	DC/AC	Value	Unit	AUTO
1	16:09:57	DC	00,00	mA	pass
2	16:09:57	DC	00,00	mA	pass
3	16:09:58	DC	00,00	mA	pass
4	16:09:58	DC	00,00	mA	pass
5	16:09:59	DC	00,00	mA	pass
6	16:09:59	DC	00,00	mA	pass
7	16:10:00	DC	00,00	mA	pass
8	16:10:01	DC	00,00	mA	pass
9	16:10:01	DC	14,67	mA	pass
10	16:10:02	DC	11,96	mA	pass
11	16:10:02	DC	21,61	mA	pass
12	16:10:03	DC	00,21	mA	pass
13	16:10:04	DC	00,17	mA	pass
14	16:10:04	DC	00,15	mA	pass
15	16:10:05	DC	00,15	mA	pass
16	16:10:05	DC	00,15	mA	pass
17	16:10:06	DC	20,45	mA	pass
18	16:10:06	DC	00,15	mA	pass
19	16:10:07	DC	00,15	mA	pass
20	16:10:08	DC	00,16	mA	pass
21	16:10:08	DC	00,15	mA	pass
22	16:10:09	DC	00,15	mA	pass
23	16:10:09	DC	04,43	mA	pass
24	16:10:10	DC	00,15	mA	pass
25	16:10:11	DC	00,15	mA	pass
26	16:10:11	DC	04,43	mA	pass
27	16:10:12	DC	01,30	mA	pass
28	16:10:12	DC	00,15	mA	pass
29	16:10:13	DC	00,15	mA	pass
30	16:10:13	DC	14,58	mA	pass
31	16:10:14	DC	29,86	mA	pass
32	16:10:15	DC	10,84	mA	pass
33	16:10:15	DC	00,15	mA	pass
34	16:10:16	DC	00,15	mA	pass
35	16:10:16	DC	00,15	mA	pass
36	16:10:17	DC	00,15	mA	pass
37	16:10:18	DC	01,95	mA	pass
38	16:10:18	DC	00,39	mA	pass
39	16:10:19	DC	00,39	mA	pass
40	16:10:19	DC	00,64	mA	pass
41	16:10:20	DC	00,15	mA	pass
42	16:10:20	DC	00,65	mA	pass
43	16:10:21	DC	00,15	mA	pass
44	16:10:22	DC	00,15	mA	pass
45	16:10:22	DC	00,15	mA	pass
46	16:10:23	DC	00,15	mA	pass
47	16:10:23	DC	00,15	mA	pass
48	16:10:24	DC	00,15	mA	pass
49	16:10:24	DC	00,15	mA	pass
50	16:10:25	DC	00,49	mA	pass
51	16:10:26	DC	00,51	mA	pass
52	16:10:26	DC	00,15	mA	pass
53	16:10:27	DC	00,15	mA	pass
54	16:10:27	DC	00,15	mA	pass
55	16:10:28	DC	00,15	mA	pass
56	16:10:29	DC	00,15	mA	pass
57	16:10:29	DC	00,15	mA	pass
58	16:10:30	DC	04,96	mA	pass
59	16:10:30	DC	00,64	mA	pass
60	16:10:31	DC	00,15	mA	pass
61	16:10:31	DC	00,15	mA	pass
62	16:10:32	DC	00,15	mA	pass
63	16:10:33	DC	00,15	mA	pass
64	16:10:33	DC	00,15	mA	pass
65	16:10:34	DC	00,15	mA	pass
66	16:10:34	DC	00,15	mA	pass
67	16:10:35	DC	00,15	mA	pass
68	16:10:36	DC	00,15	mA	pass
69	16:10:36	DC	00,16	mA	pass
70	16:10:37	DC	00,16	mA	pass
71	16:10:37	DC	00,15	mA	pass
72	16:10:38	DC	01,93	mA	pass
73	16:10:39	DC	00,15	mA	pass
74	16:10:39	DC	00,15	mA	pass
75	16:10:40	DC	00,15	mA	pass
76	16:10:40	DC	16,35	mA	pass
77	16:10:41	DC	00,15	mA	pass
78	16:10:41	DC	00,15	mA	pass
79	16:10:42	DC	00,15	mA	pass
80	16:10:43	DC	00,15	mA	pass
81	16:10:43	DC	00,15	mA	pass
82	16:10:44	DC	00,15	mA	pass
83	16:10:44	DC	00,15	mA	pass
84	16:10:45	DC	00,15	mA	pass
85	16:10:45	DC	00,15	mA	pass
86	16:10:46	DC	19,09	mA	pass
87	16:10:47	DC	00,15	mA	pass
88	16:10:47	DC	00,15	mA	pass
89	16:10:48	DC	00,15	mA	pass
90	16:10:48	DC	00,15	mA	pass
91	16:10:49	DC	00,15	mA	pass
92	16:10:50	DC	00,15	mA	pass
93	16:10:50	DC	00,15	mA	pass
94	16:10:51	DC	00,15	mA	pass
95	16:10:51	DC	00,17	mA	pass
96	16:10:52	DC	00,17	mA	pass
97	16:10:52	DC	00,17	mA	pass
98	16:10:53	DC	00,15	mA	pass
99	16:10:54	DC	00,15	mA	pass
100	16:10:54	DC	00,16	mA	pass
101	16:10:55	DC	00,15	mA	pass
102	16:10:55	DC	00,15	mA	pass
103	16:10:56	DC	00,15	mA	pass
104	16:10:57	DC	00,15	mA	pass
105	16:10:57	DC	00,15	mA	pass
106	16:10:58	DC	00,15	mA	pass
107	16:10:58	DC	00,15	mA	pass
108	16:10:59	DC	03,33	mA	pass
109	16:11:00	DC	00,15	mA	pass
110	16:11:00	DC	00,15	mA	pass
111	16:11:01	DC	00,15	mA	pass
112	16:11:01	DC	00,15	mA	pass
113	16:11:02	DC	00,15	mA	pass
114	16:11:02	DC	00,15	mA	pass
115	16:11:03	DC	00,15	mA	pass
116	16:11:04	DC	00,15	mA	pass
117	16:11:04	DC	00,15	mA	pass
118	16:11:05	DC	00,15	mA	pass
119	16:11:05	DC	00,15	mA	pass
120	16:11:06	DC	00,15	mA	pass
121	16:11:07	DC	02,58	mA	pass
122	16:11:07	DC	00,15	mA	pass
123	16:11:08	DC	00,15	mA	pass
124	16:11:08	DC	00,15	mA	pass
125	16:11:09	DC	00,15	mA	pass
126	16:11:09	DC	00,15	mA	pass
127	16:11:10	DC	00,15	mA	pass
128	16:11:11	DC	00,15	mA	pass
129	16:11:11	DC	00,15	mA	pass
130	16:11:12	DC	06,96	mA	pass
131	16:11:12	DC	00,15	mA	pass
132	16:11:13	DC	00,15	mA	pass
133	16:11:14	DC	00,15	mA	pass
134	16:11:14	DC	00,25	mA	pass
135	16:11:15	DC	00,64	mA	pass
136	16:11:15	DC	00,15	mA	pass
137	16:11:16	DC	00,15	mA	pass
138	16:11:16	DC	00,15	mA	pass
139	16:11:17	DC	14,36	mA	pass
140	16:11:18	DC	00,15	mA	pass
141	16:11:18	DC	00,15	mA	pass
142	16:11:19	DC	00,15	mA	pass
143	16:11:19	DC	04,41	mA	pass
144	16:11:20	DC	00,15	mA	pass
145	16:11:20	DC	00,15	mA	pass
146	16:11:21	DC	00,15	mA	pass
147	16:11:22	DC	00,15	mA	pass
148	16:11:22	DC	00,15	mA	pass
149	16:11:23	DC	00,39	mA	pass
150	16:11:23	DC	00,15	mA	pass
151	16:11:24	DC	00,15	mA	pass
152	16:11:25	DC	19,82	mA	pass
153	16:11:25	DC	00,15	mA	pass
154	16:11:26	DC	00,15	mA	pass
155	16:11:26	DC	00,15	mA	pass
156	16:11:27	DC	05,00	mA	pass
157	16:11:28	DC	00,15	mA	pass
158	16:11:28	DC	00,15	mA	pass
159	16:11:29	DC	00,15	mA	pass
160	16:11:29	DC	00,15	mA	pass
161	16:11:30	DC	00,15	mA	pass
162	16:11:30	DC	00,15	mA	pass
163	16:11:31	DC	00,61	mA	pass
164	16:11:32	DC	00,15	mA	pass
165	16:11:32	DC	19,98	mA	pass
166	16:11:33	DC	00,15	mA	pass
167	16:11:33	DC	00,15	mA	pass
168	16:11:34	DC	00,15	mA	pass
169	16:11:34	DC	00,87	mA	pass
170	16:11:35	DC	00,15	mA	pass
171	16:11:36	DC	00,15	mA	pass
172	16:11:36	DC	00,15	mA	pass
173	16:11:37	DC	00,15	mA	pass
174	16:11:37	DC	17,34	mA	pass
175	16:11:38	DC	00,15	mA	pass
176	16:11:39	DC	00,15	mA	pass
177	16:11:39	DC	00,15	mA	pass
178	16:11:40	DC	04,93	mA	pass
179	16:11:40	DC	00,12	mA	pass
180	16:11:41	DC	00,12	mA	pass
181	16:11:41	DC	00,11	mA	pass
182	16:11:42	DC	00,11	mA	pass
183	16:11:43	DC	00,11	mA	pass
184	16:11:43	DC	00,11	mA	pass
185	16:11:44	DC	00,11	mA	pass
186	16:11:44	DC	00,11	mA	pass
187	16:11:45	DC	00,11	mA	pass
188	16:11:46	DC	00,11	mA	pass
189	16:11:46	DC	00,11	mA	pass
190	16:11:47	DC	00,11	mA	pass
191	16:11:47	DC	00,11	mA	pass
192	16:11:48	DC	00,11	mA	pass
193	16:11:48	DC	00,11	mA	pass
194	16:11:49	DC	00,11	mA	pass
195	16:11:50	DC	00,44	mA	pass
196	16:11:50	DC	00,11	mA	pass
197	16:11:51	DC	00,11	mA	pass
198	16:11:51	DC	00,11	mA	pass
199	16:11:52	DC	00,11	mA	pass
200	16:11:52	DC	00,11	mA	pass
201	16:11:53	DC	00,11	mA	pass
202	16:11:54	DC	00,11	mA	pass
203	16:11:54	DC	00,11	mA	pass
204	16:11:55	DC	00,11	mA	pass
205	16:11:55	DC	00,11	mA	pass
206	16:11:56	DC	00,11	mA	pass
207	16:11:57	DC	00,11	mA	pass
208	16:11:57	DC	00,11	mA	pass
209	16:11:58	DC	00,11	mA	pass
210	16:11:58	DC	00,11	mA	pass
211	16:11:59	DC	00,11	mA	pass
212	16:12:00	DC	00,11	mA	pass
213	16:12:00	DC	00,11	mA	pass
214	16:12:01	DC	00,11	mA	pass
215	16:12:01	DC	00,11	mA	pass
216	16:12:02	DC	00,12	mA	pass
217	16:12:02	DC	00,12	mA	pass
218	16:12:03	DC	00,12	mA	pass
219	16:12:04	DC	00,11	mA	pass
220	16:12:04	DC	00,11	mA	pass
221	16:12:05	DC	00,11	mA	pass
222	16:12:05	DC	00,11	mA	pass
223	16:12:06	DC	00,12	mA	pass
224	16:12:06	DC	00,12	mA	pass
225	16:12:07	DC	00,12	mA	pass
226	16:12:08	DC	00,11	mA	pass
227	16:12:08	DC	00,11	mA	pass
228	16:12:09	DC	00,11	mA	pass
229	16:12:09	DC	00,11	mA	pass
230	16:12:10	DC	00,11	mA	pass
231	16:12:10	DC	00,11	mA	pass
232	16:12:11	DC	00,11	mA	pass
233	16:12:12	DC	00,11	mA	pass
234	16:12:12	DC	00,12	mA	pass
235	16:12:13	DC	00,12	mA	pass
236	16:12:13	DC	00,11	mA	pass
237	16:12:14	DC	00,11	mA	pass
238	16:12:15	DC	00,11	mA	pass
239	16:12:15	DC	00,11	mA	pass
240	16:12:16	DC	00,11	mA	pass
241	16:12:16	DC	00,11	mA	pass
242	16:12:17	DC	00,12	mA	pass
243	16:12:18	DC	00,11	mA	pass
244	16:12:18	DC	00,11	mA	pass
245	16:12:19	DC	00,11	mA	pass
246	16:12:19	DC	00,11	mA	pass
247	16:12:20	DC	00,11	mA	pass
248	16:12:20	DC	00,11	mA	pass
249	16:12:21	DC	00,56	mA	pass
250	16:12:22	DC	00,11	mA	pass
251	16:12:22	DC	00,11	mA	pass
252	16:12:23	DC	00,11	mA	pass
253	16:12:23	DC	00,11	mA	pass
254	16:12:24	DC	00,11	mA	pass
255	16:12:25	DC	00,11	mA	pass
256	16:12:25	DC	00,11	mA	pass
257	16:12:26	DC	00,12	mA	pass
258	16:12:26	DC	00,11	mA	pass
259	16:12:27	DC	00,59	mA	pass
260	16:12:27	DC	00,11	mA	pass
261	16:12:28	DC	00,11	mA	pass
262	16:12:29	DC	00,11	mA	pass
263	16:12:29	DC	00,12	mA	pass
264	16:12:30	DC	00,11	mA	pass
265	16:12:30	DC	00,11	mA	pass
266	16:12:31	DC	00,11	mA	pass
267	16:12:31	DC	00,11	mA	pass
268	16:12:32	DC	00,12	mA	pass
269	16:12:33	DC	00,11	mA	pass
270	16:12:33	DC	00,11	mA	pass
271	16:12:34	DC	00,11	mA	pass
272	16:12:34	DC	00,11	mA	pass
273	16:12:35	DC	00,11	mA	pass
274	16:12:36	DC	00,12	mA	pass
275	16:12:36	DC	00,12	mA	pass
276	16:12:37	DC	00,12	mA	pass
277	16:12:37	DC	00,12	mA	pass
278	16:12:38	DC	00,12	mA	pass
279	16:12:38	DC	00,11	mA	pass
280	16:12:39	DC	00,11	mA	pass
281	16:12:40	DC	00,11	mA	pass
282	16:12:40	DC	00,11	mA	pass
283	16:12:41	DC	00,11	mA	pass
284	16:12:41	DC	00,11	mA	pass
285	16:12:42	DC	00,12	mA	pass
286	16:12:42	DC	00,12	mA	pass
287	16:12:43	DC	00,12	mA	pass
288	16:12:44	DC	00,12	mA	pass
289	16:12:44	DC	00,12	mA	pass
290	16:12:45	DC	00,13	mA	pass
291	16:12:45	DC	00,12	mA	pass
292	16:12:46	DC	00,12	mA	pass
293	16:12:47	DC	00,11	mA	pass
294	16:12:47	DC	00,11	mA	pass
295	16:12:48	DC	00,11	mA	pass
296	16:12:48	DC	00,11	mA	pass
297	16:12:49	DC	00,11	mA	pass
298	16:12:50	DC	00,12	mA	pass
299	16:12:50	DC	00,12	mA	pass
300	16:12:51	DC	00,12	mA	pass
301	16:12:51	DC	00,11	mA	pass
302	16:12:52	DC	00,11	mA	pass
303	16:12:52	DC	00,11	mA	pass
304	16:12:53	DC	00,11	mA	pass
305	16:12:53	DC	00,11	mA	pass
306	16:12:54	DC	00,11	mA	pass
307	16:12:55	DC	00,11	mA	pass
308	16:12:55	DC	00,11	mA	pass
309	16:12:56	DC	00,11	mA	pass
310	16:12:56	DC	00,11	mA	pass
311	16:12:57	DC	00,12	mA	pass
312	16:12:58	DC	00,12	mA	pass
313	16:12:58	DC	00,12	mA	pass
314	16:12:59	DC	00,11	mA	pass
315	16:12:59	DC	00,11	mA	pass
316	16:13:00	DC	00,12	mA	pass
317	16:13:01	DC	00,12	mA	pass
318	16:13:01	DC	00,11	mA	pass
319	16:13:02	DC	00,11	mA	pass
320	16:13:02	DC	00,12	mA	pass
321	16:13:03	DC	00,12	mA	pass
322	16:13:03	DC	00,11	mA	pass
323	16:13:04	DC	00,11	mA	pass
324	16:13:05	DC	00,11	mA	pass
325	16:13:05	DC	00,12	mA	pass
326	16:13:06	DC	00,12	mA	pass
327	16:13:06	DC	00,12	mA	pass
328	16:13:07	DC	00,12	mA	pass
329	16:13:07	DC	00,12	mA	pass
330	16:13:08	DC	00,12	mA	pass
331	16:13:09	DC	00,12	mA	pass
332	16:13:09	DC	00,12	mA	pass
333	16:13:10	DC	00,11	mA	pass
334	16:13:10	DC	00,12	mA	pass
335	16:13:11	DC	00,12	mA	pass
336	16:13:11	DC	00,12	mA	pass
