,meas0,meas1,meas2,meas3,meas4,meas5,meas6,meas7,meas8
0,18.280020000000007,295.8348383,300.5774628,301.734919,323.83008809999995,596.4228578,602.6352801999999,625.5337004999999,895.9858710999999
1,1168.0,1408.0,1088.0,1168.0,1248.0,1328.0,1168.0,1168.0,1088.0
2,1088.0,1248.0,1744.0,1248.0,1248.0,1328.0,1168.0,1248.0,1168.0
3,1168.0,1328.0,2240.0,1488.0,1248.0,1328.0,1488.0,1328.0,1248.0
4,1248.0,1248.0,2816.0,1584.0,1408.0,1248.0,1328.0,1248.0,1328.0
5,1328.0,1248.0,2240.0,1408.0,1328.0,1408.0,1248.0,1328.0,1168.0
6,1488.0,1248.0,1408.0,1328.0,1328.0,1248.0,1168.0,1248.0,1168.0
7,1328.0,1168.0,1088.0,1328.0,1328.0,1168.0,1008.0,1248.0,1248.0
8,1248.0,1328.0,1008.0,1248.0,1408.0,1008.0,1008.0,1248.0,1248.0
9,1248.0,1248.0,1008.0,1408.0,1984.0,1008.0,1088.0,1248.0,1168.0
10,1168.0,1488.0,1008.0,1248.0,2320.0,1168.0,1168.0,1328.0,1088.0
11,1248.0,2240.0,1008.0,1248.0,2640.0,1168.0,1168.0,1248.0,1088.0
12,1248.0,2736.0,1088.0,1248.0,1664.0,1248.0,1168.0,1248.0,1008.0
13,1248.0,1984.0,1088.0,1168.0,1328.0,1248.0,1008.0,1168.0,1088.0
14,1248.0,1408.0,1008.0,1248.0,1248.0,1408.0,1088.0,1168.0,1168.0
15,1248.0,1088.0,1088.0,1248.0,1328.0,1328.0,1088.0,1168.0,1248.0
16,1168.0,912.0,1168.0,1248.0,1328.0,1408.0,1008.0,1248.0,1248.0
17,912.0,1088.0,1168.0,1088.0,1328.0,1328.0,1168.0,1248.0,1248.0
18,1088.0,1168.0,1088.0,1168.0,1328.0,1248.0,1088.0,1328.0,1088.0
19,1008.0,1248.0,1088.0,1328.0,1328.0,1168.0,1088.0,1328.0,1088.0
20,1168.0,1248.0,1008.0,1328.0,1408.0,1248.0,1008.0,1408.0,1008.0
21,1168.0,1248.0,1008.0,1248.0,1328.0,1168.0,1008.0,1328.0,1168.0
22,1248.0,1248.0,1088.0,1328.0,1248.0,1248.0,1088.0,1248.0,1088.0
23,1248.0,1248.0,1168.0,1248.0,1328.0,1248.0,1008.0,1248.0,1168.0
24,1248.0,1328.0,1168.0,1248.0,1408.0,1248.0,912.0,1328.0,1328.0
25,1248.0,1408.0,1088.0,1248.0,1408.0,1248.0,1008.0,1328.0,1248.0
26,1248.0,1328.0,1168.0,1408.0,1408.0,1328.0,1008.0,1408.0,1984.0
27,1248.0,1248.0,1168.0,1488.0,1328.0,1248.0,1088.0,1328.0,1584.0
28,1248.0,1248.0,1248.0,1584.0,1328.0,1328.0,1008.0,1168.0,1408.0
29,1008.0,1328.0,1168.0,1408.0,1328.0,1328.0,1008.0,1168.0,1408.0
30,1088.0,1328.0,1328.0,1408.0,1328.0,1328.0,1088.0,1328.0,1328.0
31,1088.0,1168.0,1088.0,1328.0,1328.0,1328.0,1088.0,1248.0,1168.0
32,1168.0,1168.0,1168.0,1328.0,1248.0,1248.0,1088.0,1328.0,1168.0
33,1248.0,1248.0,1088.0,1248.0,1328.0,1248.0,1168.0,1168.0,1168.0
34,1248.0,1248.0,1168.0,1168.0,1328.0,1168.0,1088.0,1088.0,1248.0
35,1248.0,1248.0,1168.0,1088.0,1328.0,1168.0,1168.0,1248.0,1168.0
36,1088.0,1248.0,1168.0,1248.0,1328.0,1168.0,1008.0,1328.0,1328.0
37,1088.0,1328.0,1168.0,1168.0,1248.0,1168.0,912.0,1248.0,1328.0
38,1328.0,1328.0,1088.0,1088.0,1328.0,1328.0,1008.0,1248.0,1168.0
39,1248.0,1408.0,1168.0,1248.0,1328.0,1328.0,1008.0,1328.0,1088.0
40,1168.0,1328.0,1168.0,1168.0,1328.0,1248.0,1008.0,1168.0,1008.0
41,1088.0,1408.0,1088.0,1168.0,1408.0,1328.0,1088.0,1168.0,1088.0
42,1248.0,1328.0,1088.0,2160.0,1328.0,1168.0,1168.0,1168.0,1328.0
43,1248.0,1328.0,1088.0,2560.0,1248.0,1168.0,1168.0,1408.0,1168.0
44,1008.0,1248.0,1008.0,2976.0,1328.0,1248.0,1088.0,1248.0,1248.0
45,1248.0,1328.0,1168.0,1984.0,1328.0,1248.0,1168.0,1168.0,1168.0
46,1088.0,1248.0,1088.0,1408.0,1328.0,1248.0,1168.0,1088.0,1248.0
47,1088.0,1248.0,1008.0,1168.0,1488.0,1328.0,1088.0,1168.0,1088.0
48,1008.0,1328.0,1008.0,1168.0,1488.0,1328.0,1488.0,1168.0,1248.0
49,1088.0,1408.0,1168.0,1168.0,1328.0,1408.0,1488.0,1328.0,1168.0
50,1008.0,1488.0,1088.0,1328.0,1408.0,1328.0,1248.0,1328.0,1248.0
51,1248.0,1408.0,1168.0,1328.0,1488.0,1328.0,1168.0,1328.0,1088.0
52,1248.0,1328.0,1168.0,1408.0,1328.0,1328.0,1168.0,1248.0,1168.0
53,1328.0,1328.0,1168.0,1168.0,1488.0,1408.0,1008.0,1328.0,1248.0
54,1328.0,1168.0,1008.0,1248.0,1408.0,1408.0,1088.0,1328.0,1248.0
55,1168.0,1168.0,1088.0,1008.0,1408.0,1328.0,1008.0,1328.0,1248.0
56,912.0,1168.0,1168.0,1168.0,1328.0,1248.0,1008.0,1328.0,1168.0
57,1008.0,1088.0,1168.0,1088.0,1328.0,1248.0,1168.0,1408.0,1248.0
58,912.0,1248.0,1248.0,1168.0,1328.0,1168.0,1168.0,1328.0,1248.0
59,1168.0,1168.0,1168.0,1168.0,1328.0,1248.0,1088.0,1328.0,1248.0
